item_#,strUC,common_name,scientific_name,doi,url,editors,reviewer,start_date,end_date,publication_date
59f5eba3e4b063d5d307e03b,aABSAx,Austin Blind Salamander,Eurycea waterlooensis,https://doi.org/10.5066/F7S46R49,https://www.sciencebase.gov/catalog/item/59f5eba3e4b063d5d307e03b,['Ken Boykin'],Steve Williams,2008,2016,2018-07
59f5ebe4e4b063d5d307e245,aACSSx,Atlantic Coast Slimy Salamander,Plethodon chlorobryonis,https://doi.org/10.5066/F7D799J2,https://www.sciencebase.gov/catalog/item/59f5ebe4e4b063d5d307e245,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ebe5e4b063d5d307e24f,aADSAx,Apalachicola Dusky Salamander,Desmognathus apalachicolae,https://doi.org/10.5066/F76D5S3C,https://www.sciencebase.gov/catalog/item/59f5ebe5e4b063d5d307e24f,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5e1b4e4b063d5d307da79,aAGTOx,Amargosa Toad,Anaxyrus nelsoni,https://doi.org/10.5066/F7B56HTP,https://www.sciencebase.gov/catalog/item/59f5e1b4e4b063d5d307da79,['Ken Boykin'],Jeff Lonneker,2008,2013,2018-07
59f5ebb8e4b063d5d307e0f1,aAMBUx,American Bullfrog,Lithobates catesbeianus,https://doi.org/10.5066/F7G73CQG,https://www.sciencebase.gov/catalog/item/59f5ebb8e4b063d5d307e0f1,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e239e4b063d5d307dd59,aAMDSx,Allegheny Mountain Dusky Salamander,Desmognathus ochrophaeus,https://doi.org/10.5066/F7DB80ZC,https://www.sciencebase.gov/catalog/item/59f5e239e4b063d5d307dd59,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5ebb1e4b063d5d307e0b7,aAMTOx,American Toad,Anaxyrus americanus,https://doi.org/10.5066/F74J0D8X,https://www.sciencebase.gov/catalog/item/59f5ebb1e4b063d5d307e0b7,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e1f1e4b063d5d307dbb7,aARSAx,Arboreal Salamander,Aneides lugubris,https://doi.org/10.5066/F7NC60CH,https://www.sciencebase.gov/catalog/item/59f5e1f1e4b063d5d307dbb7,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e1b8e4b063d5d307da8f,aARTOx,Arroyo Toad,Anaxyrus californicus,https://doi.org/10.5066/F70R9NJN,https://www.sciencebase.gov/catalog/item/59f5e1b8e4b063d5d307da8f,['Ken Boykin'],Jeff Lonneker,2008,2013,2018-07
59f5e25fe4b063d5d307de43,aAZTOx,Arizona Toad,Anaxyrus microscaphus,https://doi.org/10.5066/F7HD7TQD,https://www.sciencebase.gov/catalog/item/59f5e25fe4b063d5d307de43,"['Ken Boykin', 'Thomas Laxson']",Jeff Lonneker,2008,2013,2018-07
59f5ebfee4b063d5d307e335,aAZTRx,Arizona Treefrog,Hyla wrightorum,https://doi.org/10.5066/F7KS6QKD,https://www.sciencebase.gov/catalog/item/59f5ebfee4b063d5d307e335,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5e25ae4b063d5d307de21,aBAFRx,Barking Frog,Craugastor augusti,https://doi.org/10.5066/F7GF0SKK,https://www.sciencebase.gov/catalog/item/59f5e25ae4b063d5d307de21,['Ken Boykin'],Steve Williams,2008,2015,2018-07
59f5e2a2e4b063d5d307dfbb,aBATRx,Barking Treefrog,Hyla gratiosa,https://doi.org/10.5066/F78051PC,https://www.sciencebase.gov/catalog/item/59f5e2a2e4b063d5d307dfbb,['Ken Boykin'],Jeff Lonneker,2008,2015,2018-07
59f5ebe6e4b063d5d307e257,aBBSSx,Black-bellied Slender Salamander,Batrachoseps nigriventris,https://doi.org/10.5066/F79P30QV,https://www.sciencebase.gov/catalog/item/59f5ebe6e4b063d5d307e257,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e29de4b063d5d307df9f,aBCSAx,Berry Cave Salamander,Gyrinophilus gulolineatus,https://doi.org/10.5066/F73R0RXB,https://www.sciencebase.gov/catalog/item/59f5e29de4b063d5d307df9f,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e1b7e4b063d5d307da87,aBCTRx,Baja California Treefrog,Pseudacris hypochondriaca,https://doi.org/10.5066/F7ST7P0Z,https://www.sciencebase.gov/catalog/item/59f5e1b7e4b063d5d307da87,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e221e4b063d5d307dcc7,aBESAx,Black-bellied Salamander,Desmognathus quadramaculatus,https://doi.org/10.5066/F75M64R5,https://www.sciencebase.gov/catalog/item/59f5e221e4b063d5d307dcc7,['Matthew Rubino'],Steve Williams,2008,2016,2018-07
59f5e24be4b063d5d307ddcd,aBGCSx,Blue Ridge Gray-cheeked Salamander,Plethodon amplus,https://doi.org/10.5066/F7VQ31SG,https://www.sciencebase.gov/catalog/item/59f5e24be4b063d5d307ddcd,['Adam Radel'],Jeff Lonneker,2008,2013,2018-07
59f5ebc7e4b063d5d307e15d,aBGSAx,Big Levels Salamander,Plethodon sherando,https://doi.org/10.5066/F79W0DP9,https://www.sciencebase.gov/catalog/item/59f5ebc7e4b063d5d307e15d,['Steven Williams'],Steve Williams,2008,2016,2018-07
59f5ebbbe4b063d5d307e109,aBLASx,Black Salamander,Aneides flavipunctatus,https://doi.org/10.5066/F73R0RWW,https://www.sciencebase.gov/catalog/item/59f5ebbbe4b063d5d307e109,['Ken Boykin'],Jeff Lonneker,2008,2016,2018-07
59f5e23fe4b063d5d307dd7b,aBLSAx,Blanco Blind Salamander,Eurycea robusta,https://doi.org/10.5066/F7CN72X5,https://www.sciencebase.gov/catalog/item/59f5e23fe4b063d5d307dd7b,['Ken Boykin'],Steve Williams,2008,2016,2018-07
